time,degree,prediction,error
2023-07-22T11:04:29,345,350,5
2023-07-22T11:04:30,345,0,15
2023-07-22T11:04:31,350,355,5
2023-07-22T11:04:32,0,10,10
2023-07-22T11:04:33,25,30,5
2023-07-22T11:04:34,30,25,5
2023-07-22T11:04:35,45,15,30
2023-07-22T11:04:36,20,15,5
2023-07-22T11:04:37,0,5,5
2023-07-22T11:04:38,0,10,10
2023-07-22T11:04:39,25,10,15
2023-07-22T11:04:40,23,25,2
2023-07-22T11:04:41,18,30,12
2023-07-22T11:04:42,5,10,5
2023-07-22T11:04:43,0,5,5
2023-07-22T11:04:44,355,355,0
2023-07-22T11:04:45,335,350,15
2023-07-22T11:04:46,330,340,10
2023-07-22T11:04:47,325,345,20
2023-07-22T11:04:48,345,350,5
2023-07-22T11:04:49,0,5,5
2023-07-22T11:04:50,357,355,2
2023-07-22T11:04:51,340,345,5
2023-07-22T11:04:52,335,350,15
2023-07-22T11:04:53,355,350,5
2023-07-22T11:04:54,358,5,7
2023-07-22T11:04:55,10,15,5
2023-07-22T11:04:56,20,5,15
2023-07-22T11:04:57,30,5,25
2023-07-22T11:04:58,35,20,15
2023-07-22T11:04:59,5,5,0
2023-07-22T11:05:00,0,5,5
2023-07-22T11:05:01,0,0,0
2023-07-22T11:05:02,15,5,10
2023-07-22T11:05:03,20,10,10
2023-07-22T11:05:04,15,10,5
2023-07-22T11:05:05,5,5,0
2023-07-22T11:05:06,355,355,0
2023-07-22T11:05:07,340,355,15
2023-07-22T11:05:08,345,350,5
2023-07-22T11:05:09,340,350,10
2023-07-22T11:05:10,348,350,2
2023-07-22T11:05:11,355,355,0
2023-07-22T11:05:12,0,5,5
2023-07-22T11:05:13,0,5,5
2023-07-22T11:05:14,0,0,0
2023-07-22T11:05:15,0,0,0
